0.872988,0.847369,1.023319,1.035523,-31.340302,298.154510
0.878350,0.898869,1.017673,0.993346,-31.395157,298.149536
0.860755,0.800299,1.013561,0.988475,-31.404869,298.124695
0.870596,0.942279,1.006964,0.989250,-31.478821,298.158020
0.860276,0.801617,1.002248,0.942962,-31.497831,298.106750
0.858653,0.848764,0.984983,0.895812,-31.554783,298.417694
0.847518,0.848764,0.959719,0.848671,-31.615213,298.398865
0.842845,0.845979,0.962841,0.986842,-31.656382,298.453400
0.842429,0.845979,0.956654,0.939858,-31.701536,298.434662
0.837030,0.848764,0.955788,0.990090,-31.747517,298.455353
0.850353,0.943055,0.965163,1.084335,-31.841745,298.515045
0.849324,0.848764,0.978007,1.084363,-31.924555,298.492889
0.852280,0.895910,0.994506,1.084349,-31.979149,298.503967
0.868437,1.038195,1.008732,1.085197,-31.930723,298.537872
0.858488,0.799642,1.003241,0.940641,-31.960615,298.424194
0.864629,0.898127,1.006022,0.992527,-31.968935,298.308350
0.865429,0.849463,1.019918,1.085256,-32.075081,298.333984
0.885955,1.037341,1.017221,1.037171,-32.017639,298.358765
0.881559,0.848066,1.021290,1.036375,-32.089684,298.314209
0.890089,0.991831,1.005676,0.944468,-32.007172,298.310913
0.900811,0.943831,0.999807,0.990879,-32.019890,298.318329
0.886418,0.753229,1.017798,1.129664,-32.237373,298.329163
0.901972,0.989384,1.005949,0.942139,-32.179760,298.309387
0.913258,0.989384,0.996695,0.942139,-32.151836,298.309387
0.909576,0.895173,1.008188,1.083458,-32.258007,298.343964
0.890454,0.755712,0.990010,0.897309,-32.307926,298.293884
0.878831,0.801617,0.993343,1.037240,-32.358677,298.360077
0.888573,0.943831,0.989244,0.943703,-32.399052,298.355835
0.902387,0.989384,1.005493,1.083429,-32.448189,298.422363
0.893448,0.847369,1.011925,1.035523,-32.516670,298.370026
0.893577,0.895173,1.041512,1.177646,-32.574986,298.437683
0.889997,0.847369,1.037517,0.988463,-32.653461,298.351318
0.893195,0.893703,1.044792,1.128697,-32.689251,298.417908
0.893386,0.895910,1.031777,0.942939,-32.725800,298.344421
0.888727,0.848066,1.018656,0.942176,-32.785332,298.290344
0.892592,0.941505,1.030330,1.082554,-32.815578,298.368713
0.888412,0.895173,1.025855,0.989264,-32.857021,298.320282
